Equipe,Posicao,Nome,PPG,RPG,APG,Altura,Peso,País,Idade,Data_de_nascimento,DRAFT,Experiência,Mês
Brooklyn Nets,Guard,Keon Johnson,10.2,3.7,2.0,1.96,84,USA,23 years,2002-03-10,2021 R1 Pick 21,3 Years,3
Miami Heat,Forward,Keshad Johnson,1.6,1.7,0.3,2.01,102,USA,23 years,2001-06-23,Undrafted,Rookie,6
Denver Nuggets,Center,Nikola Joki?,29.1,12.8,10.3,2.11,129,Serbia,30 years,1995-02-19,2014 R2 Pick 41,9 Years,2
Washington Wizards,Guard,Colby Jones,2.1,1.2,0.6,1.98,94,USA,22 years,2002-05-28,2023 R2 Pick 34,1 Year,5
Oklahoma City Thunder,Forward,Dillon Jones,2.3,2.1,1.0,1.96,107,USA,23 years,2001-10-29,2024 R1 Pick 26,Rookie,10
New Orleans Pelicans,Forward,Herbert Jones,10.3,3.9,3.3,2.01,93,USA,26 years,1998-10-06,2021 R2 Pick 35,3 Years,10
Sacramento Kings,Forward,Isaac Jones,3.7,1.5,0.3,2.06,111,USA,24 years,2000-07-11,Undrafted,Rookie,7
Dallas Mavericks,Center-Forward,Kai Jones,3.5,2.3,0.5,2.11,100,Bahamas,24 years,2001-01-19,2021 R1 Pick 19,2 Years,1
Sacramento Kings,Guard,Mason Jones,2.6,0.9,1.1,1.93,91,USA,26 years,1998-07-21,Undrafted,3 Years,7
Denver Nuggets,Forward,Spencer Jones,1.3,0.7,0.1,2.01,102,USA,23 years,2001-06-14,Undrafted,Rookie,6
Chicago Bulls,Guard,Tre Jones,7.2,2.5,4.2,1.85,84,USA,25 years,2000-01-08,2020 R2 Pick 41,4 Years,1
Phoenix Suns,Guard,Tyus Jones,10.5,2.4,5.6,1.85,89,USA,28 years,1996-05-10,2015 R1 Pick 24,9 Years,5
LA Clippers,Forward,Derrick Jones Jr.,10.4,3.4,0.8,1.98,95,USA,28 years,1997-02-15,Undrafted,8 Years,2
Denver Nuggets,Center,DeAndre Jordan,3.3,4.7,0.8,2.11,120,USA,36 years,1988-07-21,2008 R2 Pick 35,16 Years,7
Orlando Magic,Guard,Cory Joseph,3.0,1.1,1.1,1.88,91,Canada,33 years,1991-08-20,2011 R1 Pick 29,13 Years,8
Miami Heat,Forward,Nikola Jovi?,10.7,3.9,2.8,2.08,93,Serbia,21 years,2003-06-09,2022 R1 Pick 27,2 Years,6
Utah Jazz,Guard,Johnny Juzang,8.1,2.8,0.9,1.96,103,USA,24 years,2001-03-17,Undrafted,2 Years,3
Memphis Grizzlies,Guard,Yuki Kawamura,1.2,0.4,0.7,1.73,72,Japan,23 years,2001-05-02,Undrafted,Rookie,5
NA,NA,Kylor Kelley,3.0,2.6,0.3,2.13,104,USA,27 years,1997-08-26,Undrafted,Rookie,8
Memphis Grizzlies,Guard,Luke Kennard,9.6,2.8,3.4,1.96,93,USA,28 years,1996-06-24,2017 R1 Pick 12,7 Years,6
